date,rain,location
2020-01-07,2.4,Donegal
2020-01-08,2.5,Donegal
2020-01-09,0.8,Donegal
2020-01-10,2.6,Donegal
2020-01-11,17.5,Donegal
2020-01-12,2.0,Donegal
2020-01-13,12.2,Donegal
2020-01-14,1.8,Donegal
2020-01-15,2.3,Donegal
2020-01-16,6.6,Donegal
2020-01-17,1.4,Donegal
2020-01-18,0.1,Donegal
2020-01-19,0.0,Donegal
2020-01-20,0.0,Donegal
2020-01-21,0.6,Donegal
2020-01-22,0.1,Donegal
2020-01-23,0.1,Donegal
2020-01-24,0.0,Donegal
2020-01-25,0.0,Donegal
2020-01-26,7.1,Donegal
2020-01-27,2.6,Donegal
2020-01-28,12.6,Donegal
2020-01-29,2.7,Donegal
2020-01-30,0.0,Donegal
2020-01-31,3.1,Donegal
2020-02-01,2.3,Donegal
2020-02-02,2.0,Donegal
2020-02-03,10.3,Donegal
2020-02-04,2.0,Donegal
2020-02-05,0.0,Donegal
2020-02-06,0.0,Donegal
2020-02-07,4.4,Donegal
2020-02-08,26.7,Donegal
2020-02-09,12.9,Donegal
2020-02-10,8.4,Donegal
2020-02-11,10.8,Donegal
2020-02-12,12.3,Donegal
2020-02-13,3.9,Donegal
2020-02-14,3.5,Donegal
2020-02-15,20.6,Donegal
2020-02-16,5.7,Donegal
2020-02-17,11.4,Donegal
2020-02-18,5.5,Donegal
2020-02-19,15.3,Donegal
2020-02-20,7.8,Donegal
2020-02-21,12.3,Donegal
2020-02-22,15.0,Donegal
2020-02-23,6.4,Donegal
2020-02-24,24.4,Donegal
2020-02-25,13.2,Donegal
2020-02-26,9.2,Donegal
2020-02-27,0.1,Donegal
2020-02-28,8.7,Donegal
2020-02-29,8.1,Donegal
2020-03-01,4.9,Donegal
2020-03-02,12.9,Donegal
2020-03-03,3.0,Donegal
2020-03-04,0.0,Donegal
2020-03-05,0.3,Donegal
2020-03-06,1.6,Donegal
2020-03-07,5.0,Donegal
2020-03-08,12.4,Donegal
2020-03-09,11.4,Donegal
2020-03-10,2.6,Donegal
2020-03-11,13.5,Donegal
2020-03-12,5.1,Donegal
2020-03-13,0.0,Donegal
2020-03-14,3.3,Donegal
2020-03-15,2.9,Donegal
2020-03-16,4.8,Donegal
2020-03-17,12.0,Donegal
2020-03-18,2.0,Donegal
2020-03-19,0.6,Donegal
2020-03-20,0.0,Donegal
2020-03-21,0.8,Donegal
2020-03-22,0.0,Donegal
2020-03-23,0.0,Donegal
2020-03-24,0.3,Donegal
2020-03-25,1.5,Donegal
2020-03-26,0.2,Donegal
2020-03-27,0.0,Donegal
2020-03-28,0.0,Donegal
2020-03-29,0.0,Donegal
2020-03-30,0.0,Donegal
2020-03-31,0.2,Donegal
2020-01-07 00:00:00,9.3,Mayo
2020-01-08 00:00:00,1.6,Mayo
2020-01-09 00:00:00,2.1,Mayo
2020-01-10 00:00:00,15.1,Mayo
2020-01-11 00:00:00,22.8,Mayo
2020-01-12 00:00:00,5.2,Mayo
2020-01-13 00:00:00,10.5,Mayo
2020-01-14 00:00:00,7.2,Mayo
2020-01-15 00:00:00,2.3,Mayo
2020-01-16 00:00:00,6.2,Mayo
2020-01-17 00:00:00,0.8,Mayo
2020-01-18 00:00:00,0.0,Mayo
2020-01-19 00:00:00,0.0,Mayo
2020-01-20 00:00:00,0.0,Mayo
2020-01-21 00:00:00,0.0,Mayo
2020-01-22 00:00:00,0.1,Mayo
2020-01-23 00:00:00,0.7,Mayo
2020-01-24 00:00:00,0.5,Mayo
2020-01-25 00:00:00,1.2,Mayo
2020-01-26 00:00:00,11.1,Mayo
2020-01-27 00:00:00,11.8,Mayo
2020-01-28 00:00:00,11.4,Mayo
2020-01-29 00:00:00,0.7,Mayo
2020-01-30 00:00:00,1.8,Mayo
2020-01-31 00:00:00,7.5,Mayo
2020-02-01 00:00:00,3.0,Mayo
2020-02-02 00:00:00,9.9,Mayo
2020-02-03 00:00:00,4.7,Mayo
2020-02-04 00:00:00,1.0,Mayo
2020-02-05 00:00:00,0.0,Mayo
2020-02-06 00:00:00,0.0,Mayo
2020-02-07 00:00:00,6.4,Mayo
2020-02-08 00:00:00,32.0,Mayo
2020-02-09 00:00:00,20.4,Mayo
2020-02-10 00:00:00,7.2,Mayo
2020-02-11 00:00:00,8.4,Mayo
2020-02-12 00:00:00,15.9,Mayo
2020-02-13 00:00:00,0.4,Mayo
2020-02-14 00:00:00,8.0,Mayo
2020-02-15 00:00:00,29.5,Mayo
2020-02-16 00:00:00,2.7,Mayo
2020-02-17 00:00:00,5.0,Mayo
2020-02-18 00:00:00,7.3,Mayo
2020-02-19 00:00:00,22.5,Mayo
2020-02-20 00:00:00,8.2,Mayo
2020-02-21 00:00:00,16.6,Mayo
2020-02-22 00:00:00,8.6,Mayo
2020-02-23 00:00:00,11.2,Mayo
2020-02-24 00:00:00,18.2,Mayo
2020-02-25 00:00:00,10.7,Mayo
2020-02-26 00:00:00,3.6,Mayo
2020-02-27 00:00:00,0.2,Mayo
2020-02-28 00:00:00,11.8,Mayo
2020-02-29 00:00:00,13.0,Mayo
2020-03-01 00:00:00,3.6,Mayo
2020-03-02 00:00:00,6.2,Mayo
2020-03-03 00:00:00,1.1,Mayo
2020-03-04 00:00:00,0.5,Mayo
2020-03-05 00:00:00,3.3,Mayo
2020-03-06 00:00:00,2.3,Mayo
2020-03-07 00:00:00,14.1,Mayo
2020-03-08 00:00:00,4.9,Mayo
2020-03-09 00:00:00,13.6,Mayo
2020-03-10 00:00:00,3.5,Mayo
2020-03-11 00:00:00,14.1,Mayo
2020-03-12 00:00:00,5.3,Mayo
2020-03-13 00:00:00,2.0,Mayo
2020-03-14 00:00:00,10.3,Mayo
2020-03-15 00:00:00,3.9,Mayo
2020-03-16 00:00:00,7.8,Mayo
2020-03-17 00:00:00,17.3,Mayo
2020-03-18 00:00:00,1.3,Mayo
2020-03-19 00:00:00,0.2,Mayo
2020-03-20 00:00:00,0.0,Mayo
2020-03-21 00:00:00,6.7,Mayo
2020-03-22 00:00:00,1.0,Mayo
2020-03-23 00:00:00,0.0,Mayo
2020-03-24 00:00:00,0.4,Mayo
2020-03-25 00:00:00,1.5,Mayo
2020-03-26 00:00:00,0.0,Mayo
2020-03-27 00:00:00,0.0,Mayo
2020-03-28 00:00:00,0.0,Mayo
2020-03-29 00:00:00,0.0,Mayo
2020-03-30 00:00:00,0.0,Mayo
2020-03-31 00:00:00,0.0,Mayo
2020-01-07 00:00:00,1.3,Wexford
2020-01-08 00:00:00,11.5,Wexford
2020-01-09 00:00:00,9.7,Wexford
2020-01-10 00:00:00,0.2,Wexford
2020-01-11 00:00:00,7.9,Wexford
2020-01-12 00:00:00,6.0,Wexford
2020-01-13 00:00:00,7.2,Wexford
2020-01-14 00:00:00,14.9,Wexford
2020-01-15 00:00:00,1.6,Wexford
2020-01-16 00:00:00,12.2,Wexford
2020-01-17 00:00:00,0.5,Wexford
2020-01-18 00:00:00,0.0,Wexford
2020-01-19 00:00:00,0.0,Wexford
2020-01-20 00:00:00,0.3,Wexford
2020-01-21 00:00:00,0.5,Wexford
2020-01-22 00:00:00,0.1,Wexford
2020-01-23 00:00:00,0.3,Wexford
2020-01-24 00:00:00,0.2,Wexford
2020-01-25 00:00:00,1.2,Wexford
2020-01-26 00:00:00,7.5,Wexford
2020-01-27 00:00:00,2.7,Wexford
2020-01-28 00:00:00,0.0,Wexford
2020-01-29 00:00:00,0.0,Wexford
2020-01-30 00:00:00,0.9,Wexford
2020-01-31 00:00:00,4.4,Wexford
2020-02-01 00:00:00,2.2,Wexford
2020-02-02 00:00:00,4.2,Wexford
2020-02-03 00:00:00,0.0,Wexford
2020-02-04 00:00:00,0.2,Wexford
2020-02-05 00:00:00,0.0,Wexford
2020-02-06 00:00:00,0.0,Wexford
2020-02-07 00:00:00,4.1,Wexford
2020-02-08 00:00:00,11.5,Wexford
2020-02-09 00:00:00,12.4,Wexford
2020-02-10 00:00:00,3.7,Wexford
2020-02-11 00:00:00,3.0,Wexford
2020-02-12 00:00:00,12.2,Wexford
2020-02-13 00:00:00,4.6,Wexford
2020-02-14 00:00:00,3.9,Wexford
2020-02-15 00:00:00,14.6,Wexford
2020-02-16 00:00:00,6.0,Wexford
2020-02-17 00:00:00,0.5,Wexford
2020-02-18 00:00:00,0.4,Wexford
2020-02-19 00:00:00,3.9,Wexford
2020-02-20 00:00:00,6.6,Wexford
2020-02-21 00:00:00,3.7,Wexford
2020-02-22 00:00:00,6.0,Wexford
2020-02-23 00:00:00,6.8,Wexford
2020-02-24 00:00:00,13.0,Wexford
2020-02-25 00:00:00,3.0,Wexford
2020-02-26 00:00:00,1.8,Wexford
2020-02-27 00:00:00,1.7,Wexford
2020-02-28 00:00:00,22.5,Wexford
2020-02-29 00:00:00,0.3,Wexford
2020-03-01 00:00:00,0.0,Wexford
2020-03-02 00:00:00,0.0,Wexford
2020-03-03 00:00:00,0.0,Wexford
2020-03-04 00:00:00,4.9,Wexford
2020-03-05 00:00:00,3.2,Wexford
2020-03-06 00:00:00,0.1,Wexford
2020-03-07 00:00:00,3.1,Wexford
2020-03-08 00:00:00,1.4,Wexford
2020-03-09 00:00:00,6.6,Wexford
2020-03-10 00:00:00,1.1,Wexford
2020-03-11 00:00:00,3.9,Wexford
2020-03-12 00:00:00,2.1,Wexford
2020-03-13 00:00:00,8.5,Wexford
2020-03-14 00:00:00,2.1,Wexford
2020-03-15 00:00:00,1.3,Wexford
2020-03-16 00:00:00,1.3,Wexford
2020-03-17 00:00:00,2.4,Wexford
2020-03-18 00:00:00,5.3,Wexford
2020-03-19 00:00:00,0.0,Wexford
2020-03-20 00:00:00,0.0,Wexford
2020-03-21 00:00:00,0.0,Wexford
2020-03-22 00:00:00,0.0,Wexford
2020-03-23 00:00:00,0.1,Wexford
2020-03-24 00:00:00,0.0,Wexford
2020-03-25 00:00:00,0.1,Wexford
2020-03-26 00:00:00,0.2,Wexford
2020-03-27 00:00:00,0.2,Wexford
2020-03-28 00:00:00,0.0,Wexford
2020-03-29 00:00:00,0.0,Wexford
2020-03-30 00:00:00,0.0,Wexford
2020-03-31 00:00:00,0.0,Wexford
2020-01-07 00:00:00,0.3,Dublin
2020-01-08 00:00:00,2.0,Dublin
2020-01-09 00:00:00,8.5,Dublin
2020-01-10 00:00:00,0.2,Dublin
2020-01-11 00:00:00,8.7,Dublin
2020-01-12 00:00:00,1.5,Dublin
2020-01-13 00:00:00,5.2,Dublin
2020-01-14 00:00:00,3.5,Dublin
2020-01-15 00:00:00,0.0,Dublin
2020-01-16 00:00:00,1.1,Dublin
2020-01-17 00:00:00,0.1,Dublin
2020-01-18 00:00:00,0.0,Dublin
2020-01-19 00:00:00,0.0,Dublin
2020-01-20 00:00:00,0.1,Dublin
2020-01-21 00:00:00,0.2,Dublin
2020-01-22 00:00:00,0.0,Dublin
2020-01-23 00:00:00,0.0,Dublin
2020-01-24 00:00:00,0.1,Dublin
2020-01-25 00:00:00,0.0,Dublin
2020-01-26 00:00:00,1.8,Dublin
2020-01-27 00:00:00,0.0,Dublin
2020-01-28 00:00:00,0.0,Dublin
2020-01-29 00:00:00,0.0,Dublin
2020-01-30 00:00:00,0.0,Dublin
2020-01-31 00:00:00,1.0,Dublin
2020-02-01 00:00:00,0.1,Dublin
2020-02-02 00:00:00,4.7,Dublin
2020-02-03 00:00:00,0.0,Dublin
2020-02-04 00:00:00,0.8,Dublin
2020-02-05 00:00:00,0.0,Dublin
2020-02-06 00:00:00,0.0,Dublin
2020-02-07 00:00:00,0.0,Dublin
2020-02-08 00:00:00,6.3,Dublin
2020-02-09 00:00:00,36.7,Dublin
2020-02-10 00:00:00,1.8,Dublin
2020-02-11 00:00:00,5.2,Dublin
2020-02-12 00:00:00,0.9,Dublin
2020-02-13 00:00:00,1.4,Dublin
2020-02-14 00:00:00,1.2,Dublin
2020-02-15 00:00:00,12.5,Dublin
2020-02-16 00:00:00,7.7,Dublin
2020-02-17 00:00:00,0.2,Dublin
2020-02-18 00:00:00,7.3,Dublin
2020-02-19 00:00:00,3.3,Dublin
2020-02-20 00:00:00,7.3,Dublin
2020-02-21 00:00:00,4.5,Dublin
2020-02-22 00:00:00,4.0,Dublin
2020-02-23 00:00:00,9.3,Dublin
2020-02-24 00:00:00,14.6,Dublin
2020-02-25 00:00:00,0.7,Dublin
2020-02-26 00:00:00,2.4,Dublin
2020-02-27 00:00:00,0.1,Dublin
2020-02-28 00:00:00,4.0,Dublin
2020-02-29 00:00:00,4.5,Dublin
2020-03-01 00:00:00,0.7,Dublin
2020-03-02 00:00:00,1.1,Dublin
2020-03-03 00:00:00,0.1,Dublin
2020-03-04 00:00:00,0.0,Dublin
2020-03-05 00:00:00,0.4,Dublin
2020-03-06 00:00:00,0.2,Dublin
2020-03-07 00:00:00,0.5,Dublin
2020-03-08 00:00:00,2.7,Dublin
2020-03-09 00:00:00,7.3,Dublin
2020-03-10 00:00:00,2.4,Dublin
2020-03-11 00:00:00,5.8,Dublin
2020-03-12 00:00:00,2.6,Dublin
2020-03-13 00:00:00,0.8,Dublin
2020-03-14 00:00:00,2.3,Dublin
2020-03-15 00:00:00,0.0,Dublin
2020-03-16 00:00:00,0.1,Dublin
2020-03-17 00:00:00,3.7,Dublin
2020-03-18 00:00:00,0.0,Dublin
2020-03-19 00:00:00,0.0,Dublin
2020-03-20 00:00:00,0.0,Dublin
2020-03-21 00:00:00,0.0,Dublin
2020-03-22 00:00:00,0.0,Dublin
2020-03-23 00:00:00,0.0,Dublin
2020-03-24 00:00:00,0.0,Dublin
2020-03-25 00:00:00,0.0,Dublin
2020-03-26 00:00:00,0.0,Dublin
2020-03-27 00:00:00,0.0,Dublin
2020-03-28 00:00:00,0.0,Dublin
2020-03-29 00:00:00,0.0,Dublin
2020-03-30 00:00:00,0.0,Dublin
2020-03-31 00:00:00,0.0,Dublin
